Stock,Symbol
Arabian Petrole,Yearly Results of Arabian Petroleum (in Rs. Cr.)
Arambhan,Yearly Results of Arambhan Hospitality (in Rs. Cr.)
Aramusk Infra,Yearly Results of Aramusk Infrastructure Investments (in Rs. Cr.)
Aravali Sec,Yearly Results of Aravali Securities and Finance (in Rs. Cr.)
ARC Finance,Yearly Results of ARC Finance (in Rs. Cr.)
Arcee Ind,Yearly Results of Arcee Industries (in Rs. Cr.)
Archana Soft,Yearly Results of Archana Software (in Rs. Cr.)
Archean Chem,Yearly Results of Archean Chemical Industries (in Rs. Cr.)
Archidply Decor,Yearly Results of Archidply Decor (in Rs. Cr.)
Archidply Ind,Yearly Results of Archidply Industries (in Rs. Cr.)
Archies,Yearly Results of Archies (in Rs. Cr.)
Archit Organosy,Yearly Results of Archit Organosys (in Rs. Cr.)
ARCL Organics,Yearly Results of ARCL Organics (in Rs. Cr.)
Arco Leasing,Yearly Results of Arco Leasing (in Rs. Cr.)
Arcotech,Yearly Results of Arcotech (in Rs. Cr.)
Arcuttipore Tea,Yearly Results of Arcuttipore Tea Company (in Rs. Cr.)
Ardi Investment,Yearly Results of Ardi Investments and Trading Company (in Rs. Cr.)
Arex Industries,Yearly Results of Arex Industries (in Rs. Cr.)
Arfin India,Yearly Results of Arfin India (in Rs. Cr.)
Arham Tech,Yearly Results of Arham Technologies (in Rs. Cr.)
Aries Agro,Yearly Results of Aries Agro (in Rs. Cr.)
Arihant Academy,Yearly Results of Arihant Academy (in Rs. Cr.)
Arihant Avenues,Yearly Results of Arihant Avenues and Credit (in Rs. Cr.)
Arihant Capital,Yearly Results of Arihant Capital Markets (in Rs. Cr.)
Arihant Found,Yearly Results of Arihant Foundations and Housing (in Rs. Cr.)
Arihant Institu,Yearly Results of Arihant Institute (in Rs. Cr.)
Arihant Super,Yearly Results of Arihant Superstructures (in Rs. Cr.)
Arihants Sec,Yearly Results of Arihants Securities (in Rs. Cr.)
Aris Int,Yearly Results of Aris International (in Rs. Cr.)
Aristo Bio-Tech,Yearly Results of Aristo Bio-Tech and Lifescience (in Rs. Cr.)
Arman Financial,Yearly Results of Arman Financial Services (in Rs. Cr.)
Arman Holdings,Yearly Results of Arman Holdings (in Rs. Cr.)
Arnav Corp,Yearly Results of Arnav Corporation (in Rs. Cr.)
Arnold Holdings,Yearly Results of Arnold Holdings (in Rs. Cr.)
Aro Granite,Yearly Results of Aro Granite Industries (in Rs. Cr.)
Arochem Silvass,Yearly Results of Arochem Silvassa (in Rs. Cr.)
Aroni Comm,Yearly Results of Aroni Commercials (in Rs. Cr.)
Arora Fibres,Yearly Results of Arora Fibres (in Rs. Cr.)
Arrow Greentech,Yearly Results of Arrow Greentech (in Rs. Cr.)
Arrow Textiles,Yearly Results of Arrow Textiles (in Rs. Cr.)
Arrowhead,Yearly Results of Arrowhead Seperation Engineering (in Rs. Cr.)
Arshiya,Yearly Results of Arshiya (in Rs. Cr.)
ARSS Infra,Yearly Results of ARSS Infrastructure Projects (in Rs. Cr.)
Art Nirman,Yearly Results of Art Nirman (in Rs. Cr.)
Artech Power,Yearly Results of Artech Power Products (in Rs. Cr.)
Artefact,Yearly Results of Artefact Projects (in Rs. Cr.)
Artemis Elect,Yearly Results of Artemis Electricals and Projects (in Rs. Cr.)
Artemis Global ,Yearly Results of Artemis Global Life Science (in Rs. Cr.)
Artillegenc Bio,Yearly Results of Artillegence Bio Innovations (in Rs. Cr.)
Artson Engg,Yearly Results of Artson Engineering (in Rs. Cr.)
Arun Mantex,Yearly Results of Arun Mantex (in Rs. Cr.)
Arun Processors,Yearly Results of Arun Processors (in Rs. Cr.)
Aruna Hotels,Yearly Results of Aruna Hotels (in Rs. Cr.)
ARUNIS ABODE,Yearly Results of ARUNIS ABODE (in Rs. Cr.)
Arunjyoti Bio,Yearly Results of Arunjyoti Bio Ventures (in Rs. Cr.)
Arunjyoti Enter,Yearly Results of Arunjyoti Enterprises (in Rs. Cr.)
Arunoday Mills,Yearly Results of Arunoday Mills (in Rs. Cr.)
Arvee Laborator,Yearly Results of Arvee Laboratories Ltd. (in Rs. Cr.)
Arvind,Yearly Results of Arvind (in Rs. Cr.)
Arvind and Comp,Yearly Results of Arvind and Company Shipping Agencies (in Rs. Cr.)
Arvind Intl,Yearly Results of Arvind International (in Rs. Cr.)
Arvind Products,Yearly Results of Arvind Products (in Rs. Cr.)
Arvind Remedies,Yearly Results of Arvind Remedies (in Rs. Cr.)
Arvind Smart,Yearly Results of Arvind SmartSpaces (in Rs. Cr.)
Aryaman Cap,Yearly Results of Aryaman Capital Markets (in Rs. Cr.)
Aryaman Fin Ser,Yearly Results of Aryaman Financial Services (in Rs. Cr.)
Aryavan Enter,Yearly Results of Aryavan Enterprise (in Rs. Cr.)
AS&SBL,Yearly Results of Aryan Share & Stock Brokers Lt (in Rs. Cr.)
Asahi Fibres,Yearly Results of Asahi Fibres (in Rs. Cr.)
Asahi India,Yearly Results of Asahi India Glass (in Rs. Cr.)
Asahi Infra,Yearly Results of Asahi Infrastructure And Projects (in Rs. Cr.)
Asahi Songwon,Yearly Results of Asahi Songwon Colors (in Rs. Cr.)
Ascensive,Yearly Results of Ascensive Educare (in Rs. Cr.)
Ascent Exim,Yearly Results of Ascent Exim India (in Rs. Cr.)
ASCOM,Yearly Results of ASCOM (in Rs. Cr.)
Aseem Global,Yearly Results of Aseem Global (in Rs. Cr.)
Ashapura Intima,Yearly Results of Ashapura Intimates Fashion (in Rs. Cr.)
Ashapura Mine,Yearly Results of Ashapura Minechem (in Rs. Cr.)
Ashapuri Gold,Yearly Results of Ashapuri Gold Ornament (in Rs. Cr.)
Ashari Agencies,Yearly Results of Ashari Agencies (in Rs. Cr.)
Ashco Niulab,Yearly Results of Ashco Niulab Industries (in Rs. Cr.)
Ashiana Agro,Yearly Results of Ashiana Agro Industries (in Rs. Cr.)
Ashiana Housing,Yearly Results of Ashiana Housing (in Rs. Cr.)
Ashiana Ispat,Yearly Results of Ashiana Ispat (in Rs. Cr.)
Ashika Credit,Yearly Results of Ashika Credit Capital (in Rs. Cr.)
Ashima,Yearly Results of Ashima (in Rs. Cr.)
Ashirwad Steel,Yearly Results of Ashirwad Steel and Industries (in Rs. Cr.)
AshirwadCapital,Yearly Results of Ashirwad Capital (in Rs. Cr.)
Ashish Polyplas,Yearly Results of Ashish Polyplast (in Rs. Cr.)
Ashnisha Indust,Yearly Results of Ashnisha Industries Limited (in Rs. Cr.)
Ashnoor Text,Yearly Results of Ashnoor Textile Mills (in Rs. Cr.)
Ashok Alco-Chem,Yearly Results of Ashok Alco-Chem (in Rs. Cr.)
Ashok Leyland,Yearly Results of Ashok Leyland (in Rs. Cr.)
Ashoka Buildcon,Yearly Results of Ashoka Buildcon (in Rs. Cr.)
Ashoka Metcast ,Yearly Results of Ashoka Metcast Limited (in Rs. Cr.)
Ashoka Refinery,Yearly Results of Ashoka Refineries (in Rs. Cr.)
Ashtavinayak,Yearly Results of Shree Ashtavinayak Cine Vision (in Rs. Cr.)
Ashutosh Paper ,Yearly Results of Ashutosh Paper Mills (in Rs. Cr.)
Asia Capital,Yearly Results of Asia Capital (in Rs. Cr.)
Asia Pack,Yearly Results of Asia Pack (in Rs. Cr.)
Asian,Yearly Results of Asian Warehousing (in Rs. Cr.)
Asian Bearings,Yearly Results of Asian Bearings (in Rs. Cr.)
Asian Electroni,Yearly Results of Asian Electronics (in Rs. Cr.)
Asian Energy,Yearly Results of Asian Energy Services (in Rs. Cr.)
Asian Fertilize,Yearly Results of Asian Fertilizers (in Rs. Cr.)
Asian Films,Yearly Results of Asian Films Production and Distribution (in Rs. Cr.)
Asian Flora Ltd,Yearly Results of Asian Flora (in Rs. Cr.)
Asian Granito,Yearly Results of Asian Granito India (in Rs. Cr.)
Asian Hotel (E),Yearly Results of Asian Hotels (East) (in Rs. Cr.)
Asian Hotel (W),Yearly Results of Asian Hotels (West) (in Rs. Cr.)
Asian Hotels,Yearly Results of Asian Hotels (North) (in Rs. Cr.)
Asian Paints,Yearly Results of Asian Paints (in Rs. Cr.)
Asian Petro,Yearly Results of Asian Petroproducts and Exports (in Rs. Cr.)
Asian Star,Yearly Results of Asian Star (in Rs. Cr.)
Asian Tea Expo,Yearly Results of Asian Tea and Exports (in Rs. Cr.)
Asian Vegpro,Yearly Results of Asian Vegpro Industries (in Rs. Cr.)
ASIIC,Yearly Results of Aar Shyam India Investment Com (in Rs. Cr.)
ASIS Logistics,Yearly Results of ASIS Logistics (in Rs. Cr.)
Asit C Mehta,Yearly Results of Asit C Mehta Financial Services (in Rs. Cr.)
ASK Auto,Yearly Results of ASK Automotive (in Rs. Cr.)
ASL Industries,Yearly Results of ASL Industries (in Rs. Cr.)
ASM Tech,Yearly Results of ASM Technologies (in Rs. Cr.)
Aspinwall,Yearly Results of Aspinwall and Company (in Rs. Cr.)
Aspira Pathlab ,Yearly Results of Aspira Pathlab & Diagnostics (in Rs. Cr.)
Assam,Yearly Results of Assam Entrade Limited (in Rs. Cr.)
Assam Company,Yearly Results of Assam Company (India) (in Rs. Cr.)
Assam Petrochem,Yearly Results of Assam Petrochemicals (in Rs. Cr.)
Assambrook,Yearly Results of Assambrook (in Rs. Cr.)
Assoc Alcohol,Yearly Results of Associated Alcohol and Breweries (in Rs. Cr.)
Assoc Marmo,Yearly Results of Associated Marmo and Granites (in Rs. Cr.)
Assoc Rubber,Yearly Results of Associated Rubber Industries (in Rs. Cr.)
Assoc Stone,Yearly Results of Associated Stone Industries (Kotah) (in Rs. Cr.)
Associated Cera,Yearly Results of Associated Ceramics (in Rs. Cr.)
Astec Life,Yearly Results of Astec Lifesciences (in Rs. Cr.)
Aster DM Health,Yearly Results of Aster DM Healthcare Ltd (in Rs. Cr.)
Astra Microwave,Yearly Results of Astra Microwave Products (in Rs. Cr.)
Astral Ltd,Yearly Results of Astral Limited (in Rs. Cr.)
AstraZeneca,Yearly Results of AstraZeneca Pharma (in Rs. Cr.)
Astron Paper & ,Mar '23
Asutosh Ent,Yearly Results of Asutosh Enterprises (in Rs. Cr.)
Asya Infosoft,Yearly Results of Asya Infosoft (in Rs. Cr.)
Atal,Yearly Results of Atal Realtech (in Rs. Cr.)
Atam Valves,Yearly Results of Atam Valves (in Rs. Cr.)
Atcom Tech,Yearly Results of Atcom Technologies (in Rs. Cr.)
Atharv Ent,Yearly Results of Atharv Enterprises (in Rs. Cr.)
Athena Constr,Yearly Results of Athena Constructions (in Rs. Cr.)
Athena Finance,Yearly Results of Athena Financial Services (in Rs. Cr.)
Athena Global,Yearly Results of Athena Global Technologies (in Rs. Cr.)
Atishay,Yearly Results of Atishay (in Rs. Cr.)
Atlanta Devcon,Yearly Results of Atlanta Devcon (in Rs. Cr.)
Atlanta Infra,Yearly Results of Atlanta Infrastructure and Finance (in Rs. Cr.)
Atlantaa,Yearly Results of Atlantaa (in Rs. Cr.)
Atlantic Spin,Yearly Results of Atlantic Spinning and Weaving Mills (in Rs. Cr.)
Atlas Cycles,Yearly Results of Atlas Cycle Industries (in Rs. Cr.)
Atlas Jewellery,Yearly Results of Atlas Jewellery India (in Rs. Cr.)
ATN Int,Yearly Results of ATN International (in Rs. Cr.)
ATN Telefilms,Yearly Results of ATN Telefilms (in Rs. Cr.)
Atul,Yearly Results of Atul (in Rs. Cr.)
Atul Auto,Yearly Results of Atul Auto (in Rs. Cr.)
ATV Projects,Yearly Results of ATV Projects India (in Rs. Cr.)
AU Small Financ,Yearly Results of AU Small Finance Bank (in Rs. Cr.)
Auran Paper,Yearly Results of Aurangabad Paper Mills (in Rs. Cr.)
Aurangabad Dist,Yearly Results of Aurangabad Distillery (in Rs. Cr.)
AurangabadPaper,Yearly Results of Aurangabad Paper Mills (in Rs. Cr.)
Aurionpro Solut,Yearly Results of Aurionpro Solutions (in Rs. Cr.)
Auro Labs,Yearly Results of Auro Laboratories (in Rs. Cr.)
Aurobindo Pharm,Yearly Results of Aurobindo Pharma (in Rs. Cr.)
Auroma Coke Ltd,Yearly Results of Auroma Coke (in Rs. Cr.)
Aurum Proptech,Yearly Results of Aurum Proptech (in Rs. Cr.)
Aurum Soft,Yearly Results of Aurum Soft Systems (in Rs. Cr.)
Ausom Enterp,Yearly Results of Ausom Enterprise (in Rs. Cr.)
Austin Eng,Yearly Results of Austin Engineering Company (in Rs. Cr.)
Austral Coke,Yearly Results of Austral Coke & Projects (in Rs. Cr.)
Authum Invest,Yearly Results of Authum Investment & Infrastucture (in Rs. Cr.)
Auto Pins(I),Yearly Results of Auto Pins (I) (in Rs. Cr.)
Auto Stampings,Yearly Results of Automotive Stampings and Assemblies (in Rs. Cr.)
Auto Tension,Yearly Results of Auto Tension (in Rs. Cr.)
Autoline Ind,Yearly Results of Autoline Industries (in Rs. Cr.)
Autolite India,Yearly Results of Autolite (India) (in Rs. Cr.)
Automobile Prod,Yearly Results of Automobile Products of India (in Rs. Cr.)
Automotive Axle,Yearly Results of Automotive Axles (in Rs. Cr.)
Autopal,Yearly Results of Autopal Industries (in Rs. Cr.)
Autoriders Fin,Yearly Results of Autoriders Finance (in Rs. Cr.)
Autoriders Intl,Yearly Results of Autoriders International (in Rs. Cr.)
Avadh Sugar ,Yearly Results of Avadh Sugar & Energy (in Rs. Cr.)
AVAILABLE FINAN,Yearly Results of AVAILABLE FINANCE (in Rs. Cr.)
Avalon Tech,Yearly Results of Avalon Technologies (in Rs. Cr.)
Avance Tech,Yearly Results of Avance Technologies (in Rs. Cr.)
Avantel,Yearly Results of Avantel (in Rs. Cr.)
Avanti Feeds,Yearly Results of Avanti Feeds (in Rs. Cr.)
Avasara Finance,Yearly Results of Avasara Finance (in Rs. Cr.)
Aveer Foods,Yearly Results of Aveer Foods (in Rs. Cr.)
Avenue Supermar,Yearly Results of Avenue Supermarts (in Rs. Cr.)
AVG Logistics,Yearly Results of AVG Logistics (in Rs. Cr.)
AVI Photochem,Yearly Results of AVI Photochem (in Rs. Cr.)
AVI Polymers,Yearly Results of AVI Polymers (in Rs. Cr.)
Aviva Ind,Yearly Results of Aviva Industries (in Rs. Cr.)
Avon Corp,Yearly Results of Avon Corporation (in Rs. Cr.)
Avon Mercantile,Yearly Results of Avon Mercantile (in Rs. Cr.)
Avonmore Cap,Yearly Results of Avonmore Capital & Management Services (in Rs. Cr.)
Avro India,Yearly Results of Avro India (in Rs. Cr.)
AVSL Industries,Yearly Results of AVSL Industries (in Rs. Cr.)
AVT Natural,Yearly Results of AVT Natural Products (in Rs. Cr.)
AVTIL Ent,Yearly Results of AVTIL Enterprise (in Rs. Cr.)
Axel Polymers,Yearly Results of Axel Polymers (in Rs. Cr.)
Axis Bank,Yearly Results of Axis Bank (in Rs. Cr.)
Axiscades Tech,Yearly Results of Axiscades Technologies (in Rs. Cr.)
Axita Cotton ,Yearly Results of Axita Cotton (in Rs. Cr.)
Axon Finance,Yearly Results of Axon Finance (in Rs. Cr.)
Axtel Ind,Yearly Results of  (in Rs. Cr.)
Ayepee Lamitube,Yearly Results of Ayepee Lamitubes (in Rs. Cr.)
AYM Syntex,Yearly Results of AYM Syntex (in Rs. Cr.)
Ayoki Mercan,Yearly Results of Ayoki Mercan (in Rs. Cr.)
Azad Eng,Yearly Results of Azad Engineering (in Rs. Cr.)
Azure Exim Serv,Yearly Results of Azure Exim Services (in Rs. Cr.)
B and A,Yearly Results of B and A (in Rs. Cr.)
B C Power Contr,Yearly Results of B C Power Controls (in Rs. Cr.)
B J Duplex,Yearly Results of B J Duplex Boards (in Rs. Cr.)
B Nanji Ent,Yearly Results of B Nanji Enterprises (in Rs. Cr.)
B P Capital,Yearly Results of B P Capital (in Rs. Cr.)
B Right Realest,Yearly Results of B Right Realestate (in Rs. Cr.)
B&A Packaging,Yearly Results of B&A Packaging India (in Rs. Cr.)
B&B Triplewall ,Yearly Results of B&B Triplewall Containers (in Rs. Cr.)
B. N. Rathi,Yearly Results of B. N. Rathi Securities (in Rs. Cr.)
B2B Software,Yearly Results of B2B Software Technologies (in Rs. Cr.)
Baba Arts,Yearly Results of Baba Arts (in Rs. Cr.)
Baba Food Proce,Yearly Results of Baba Food Processing India (in Rs. Cr.)
Bacil Pharma,Yearly Results of Bacil Pharma (in Rs. Cr.)
Baffin Engg,Yearly Results of Baffin Engineering (in Rs. Cr.)
Bafna Pharma,Yearly Results of Bafna Pharmaceuticals (in Rs. Cr.)
Bafna Spinning,Yearly Results of Bafna Spinning Mills and Exports (in Rs. Cr.)
BAG Films,Yearly Results of BAG Films and Media (in Rs. Cr.)
Baheti,Yearly Results of Baheti Recycling Industries (in Rs. Cr.)
Baid Finserv,Yearly Results of Baid Finserv (in Rs. Cr.)
Bajaj Auto,Yearly Results of Bajaj Auto (in Rs. Cr.)
Bajaj Consumer ,Yearly Results of Bajaj Consumer Care (in Rs. Cr.)
Bajaj Electric,Yearly Results of Bajaj Electricals (in Rs. Cr.)
Bajaj Finance,Yearly Results of Bajaj Finance (in Rs. Cr.)
Bajaj Finserv,Yearly Results of Bajaj Finserv (in Rs. Cr.)
Bajaj Global,Yearly Results of Bajaj Global (in Rs. Cr.)
Bajaj Health,Yearly Results of Bajaj Healthcare (in Rs. Cr.)
Bajaj Hindustha,Yearly Results of Bajaj Hindusthan Sugar (in Rs. Cr.)
Bajaj Holdings,Yearly Results of Bajaj Holdings & Investment (in Rs. Cr.)
Bajaj Steel,Yearly Results of Bajaj Steel Industries (in Rs. Cr.)
Bajel Projects,Yearly Results of Bajel Projects Ltd (in Rs. Cr.)
Bajrang Finance,Yearly Results of Bajrang Finance (in Rs. Cr.)
Bal Pharma,Yearly Results of Bal Pharma (in Rs. Cr.)
Bala Techno,Yearly Results of Bala Techno Global (in Rs. Cr.)
Bala Techno Ind,Yearly Results of Bala Techno Industries (in Rs. Cr.)
Balaji Amines,Yearly Results of Balaji Amines (in Rs. Cr.)
Balaji Galvanis,Yearly Results of Balaji Galvanising Industries (in Rs. Cr.)
Balaji Hotel,Yearly Results of Balaji Hotel and Enterprise (in Rs. Cr.)
Balaji Ind Corp,Yearly Results of Balaji Industrial Corporation (in Rs. Cr.)
Balaji Telefilm,Yearly Results of Balaji Telefilms (in Rs. Cr.)
Balasore Alloys,Yearly Results of Balasore Alloys (in Rs. Cr.)
Balaxi Pharma,Mar '23
Balgopal Commer,Yearly Results of Balgopal Commercial (in Rs. Cr.)
Balkrishna ,Yearly Results of Balkrishna Paper Mills (in Rs. Cr.)
Balkrishna Ind,Yearly Results of Balkrishna Industries (in Rs. Cr.)
Ballarpur Ind,Yearly Results of Ballarpur Industries (in Rs. Cr.)
Balmer Invest,Yearly Results of Balmer Lawrie Investment (in Rs. Cr.)
BALMLAWRIE,Yearly Results of Balmer Lawrie & Co (in Rs. Cr.)
Balrampur Chini,Yearly Results of Balrampur Chini Mills (in Rs. Cr.)
Balu Forge Indu,Yearly Results of Balu Forge Industries (in Rs. Cr.)
Balurghat Tech,Yearly Results of Balurghat Technologies (in Rs. Cr.)
Bambino Agro,Yearly Results of Bambino Agro Industries (in Rs. Cr.)
BAMPSL Sec,Yearly Results of BAMPSL Securities (in Rs. Cr.)
Banaras Beads,Yearly Results of Banaras Beads (in Rs. Cr.)
Banas Finance,Yearly Results of Banas Finance (in Rs. Cr.)
Banco Products,Yearly Results of Banco Products (India) (in Rs. Cr.)
Bandaram Pharma,Yearly Results of Bandaram Pharma Packtech (in Rs. Cr.)
Bandhan Bank,Yearly Results of Bandhan Bank (in Rs. Cr.)
Bang Overseas,Yearly Results of Bang Overseas (in Rs. Cr.)
Bangalore Fort,Yearly Results of Bangalore Fort Farms (in Rs. Cr.)
Banjara Cements,Yearly Results of Banjara Cements (in Rs. Cr.)
Bank of Baroda,Yearly Results of Bank Of Baroda (in Rs. Cr.)
Bank of India,Yearly Results of Bank Of India (in Rs. Cr.)
Bank of Mah,Yearly Results of Bank of Maharashtra (in Rs. Cr.)
Banka Bioloo,Yearly Results of Banka Bioloo (in Rs. Cr.)
Bannari A Spg,Yearly Results of Bannari Amman Spinning Mills (in Rs. Cr.)
Bannariamman,Yearly Results of Bannariamman Sugars (in Rs. Cr.)
Bansal Roofing,Yearly Results of Bansal Roofing Products (in Rs. Cr.)
Bansisons Tea,Yearly Results of Bansisons Tea Industries (in Rs. Cr.)
Banswara Syntex,Yearly Results of Banswara Syntex (in Rs. Cr.)
Barak Vally Cem,Yearly Results of Barak Vally Cements (in Rs. Cr.)
Barbeque Nat,Yearly Results of Barbeque Nation Hospitality (in Rs. Cr.)
Baroda Electric,Yearly Results of Baroda Electric Meters (in Rs. Cr.)
Baroda Extrusio,Yearly Results of Baroda Extrusion (in Rs. Cr.)
Baroda Rayon,Yearly Results of Baroda Rayon Corporation (in Rs. Cr.)
Baron Infotech,Yearly Results of Baron Infotech (in Rs. Cr.)
Bartronics,Yearly Results of Bartronics India (in Rs. Cr.)
Basant Agro Tec,Yearly Results of Basant Agro Tech (India) (in Rs. Cr.)
BASF,Yearly Results of BASF India (in Rs. Cr.)
Basil Infra,Yearly Results of Basil Infrastructure Projects (in Rs. Cr.)
Bata India,Yearly Results of Bata India (in Rs. Cr.)
Bathina Techno,Yearly Results of Bathina Techno (in Rs. Cr.)
Batliboi,Yearly Results of Batliboi (in Rs. Cr.)
Bayer CropScien,Yearly Results of Bayer CropScience (in Rs. Cr.)
Bazel Internati,Yearly Results of Bazel International (in Rs. Cr.)
BCC Fuba,Yearly Results of BCC Fuba India (in Rs. Cr.)
BCL Enterprises,Yearly Results of BCL Enterprises (in Rs. Cr.)
BCL Forgings,Yearly Results of BCL Forgings (in Rs. Cr.)
BCL Industries,Yearly Results of BCL Industries (in Rs. Cr.)
BCPL Railway In,Yearly Results of BCPL Railway Infrastructure (in Rs. Cr.)
BDH Industries,Yearly Results of BDH Industries (in Rs. Cr.)
Beardsell,Yearly Results of Beardsell (in Rs. Cr.)
Beckons Ind,Yearly Results of Beckons Industries (in Rs. Cr.)
Bectors Food,Yearly Results of Mrs. Bectors Food Specialities (in Rs. Cr.)
Bedmutha Ind,Yearly Results of Bedmutha Industries (in Rs. Cr.)
Bee Electronic,Yearly Results of Bee Electronic Machines (in Rs. Cr.)
Bee-am Chemical,Yearly Results of Bee-am Chemicals (in Rs. Cr.)
Beekay Niryat,Yearly Results of Beekay Niryat (in Rs. Cr.)
Beekay Steel,Yearly Results of Beekay Steel Industries (in Rs. Cr.)
